Gene_name	filter
SERGEF	-
GSN-AS1	-
OR2L8	-
KIFAP3	-
XPA	-
ASTN1	-
GRTP1-AS1	-
RPL29	-
ZBED6	-
LINC02017	-
NAT16	-
CHRNG	-
LINC01194	-
APOBEC3F	-
SLC8A3	-
ANKRD10	-
LNPEP	-
SIGLEC16	-
TREH	-
LINC00310	-
ADGRB3	-
PCDHB7	-
NECTIN3	-
OR5T2	-
TH	-
PRUNE2	-
NMRK1	-
TMCO5B	-
EPOP	-
IFNGR2	-
IGF1R	-
LINC01422	-
LINC01247	-
BCL9L	-
SEMA4G	-
MIR4472-2	-
ELP1	-
PABPN1	-
KRTAP25-1	-
SLC27A4	-
LINC01473	-
OSGEPL1	-
CAMK2D	-
FKBP2	-
ACSM3	-
GTF2IRD2B	-
STT3A-AS1	-
CTRL	-
PRKAR2B	-
MIR325HG	-
LINC02102	-
FRMD3	-
CNTN6	-
EREG	-
CTSH	-
PREP	-
PSMD5	-
ABLIM1	-
TCAF1	-
CTRB2	-
TPCN1	-
GPRASP2	-
NOL10	-
PACRG-AS2	-
NPFFR2	-
TMEM130	-
ZNF557	-
RRH	-
MAPT	-
CTSW	-
LINC01475	-
LINC02064	-
PCDH9-AS3	-
VPS33B	-
LINC01858	-
B3GNT4	-
LINC02493	-
PDE7B	-
CSPG4	-
LINC01001	-
LINC02607	-
FRMD8	-
AVPR2	-
LRFN5	-
RTTN	-
DNAH10	-
PCDHB14	-
OR51B4	-
KRT16P3	-
GTF2IP23	-
ZAR1	-
SORCS2	-
ZNF451-AS1	-
OR4D6	-
RASGEF1A	-
GYG1	-
C18orf15	-
C1RL	-
CDC37L1	-
LINC00612	-
FOXR2	-
LINC01529	-
FOLH1B	-
SPANXD	-
PSMB6	-
VSIR	-
SLC3A2	-
SYMPK	-
KDM4A	-
C12orf42	-
LINC01133	-
GPR157	-
OCIAD1-AS1	-
ANKRD40	-
PHF7	-
MEX3D	-
WASF2	-
NCOA1	-
LINC01166	-
SLFN5	-
ATG4D	-
FAXC	-
YARS1	-
MKRN3	-
DEFB109B	-
TMEM52B	-
FAM27E2	-
BEND2	-
SPINK7	-
LDHA	-
LRRC3C	-
TMEM37	-
TEAD1	-
KRTAP9-3	-
SH2D1B	-
MREG	-
ARG2	-
RRM2	-
MIR3176	-
SPATA31D5P	-
CFAP221	-
MYH15	-
BCORP1	-
ZNF613	-
IQCB1	-
MKLN1	-
PBOV1	-
YY1P2	-
DNAJC12	-
TMEM179	-
AIF1	-
HRAS	-
LINC01684	-
LINC02500	-
ATXN7L1	-
DEPP1	-
LEMD2	-
LINC01677	-
CREG1	-
JHY	-
UBE2O	-
NTRK1	-
MAPKAPK5	-
SF3B1	-
ADCY8	-
ATP11AUN	-
NRIP3	-
TCL1A	-
CYP2E1	-
ZNF526	-
SUFU	-
CALD1	-
TMEM42	-
MATN1	-
WWTR1	-
MIR4300HG	-
DMAC2	-
MBOAT7	-
NT5C2	-
CEBPB	-
CYP17A1	-
UCK1	-
CFAP157	-
MIR133A1HG	-
SHLD2P1	-
CYP2A7	-
PCP2	-
SNORD3A	-
LINC01320	-
RHCE	-
SPTLC2	-
FAM222B	-
CATSPER1	-
PELI3	-
OR2T10	-
EXOC3L4	-
SRFBP1	-
GCC1	-
VSTM2B	-
NODAL	-
SLC9A7P1	-
NPHP1	-
PTAFR	-
SMURF2	-
EOMES	-
MIR4467	-
UST-AS1	-
ZNF419	-
MSTO1	-
FAM222A	-
C1orf162	-
CTPS1	-
C4BPA	-
ZSCAN21	-
OR5D14	-
GOLGA8IP	-
LY6E-DT	-
CECR3	-
MCAM	-
TSG101	-
LINC02093	-
STOX2	-
TUNAR	-
TULP4	-
ZNF208	-
CCZ1B	-
DEFB104A	-
KLHL31	-
LYN	-
CALCOCO1	-
ZC3H11B	-
SYNPR	-
SNRPN	-
CENPL	-
LINC02809	-
TTC30A	-
MMP9	-
ADGRE4P	-
CLEC4O	-
LINC00643	-
DTD1-AS1	-
LINC01152	-
DCP1A	-
WWOX	-
BLOC1S5-TXNDC5	-
CALML3	-
COX6B1	-
ABCB11	-
ZNF460-AS1	-
IQCN	-
VIT	-
TUBB2B	-
ZC3H6	-
MIR548I4	-
FLICR	-
OR4S1	-
USP19	-
BTG4	-
ANKRD60	-
ADAMTS17	-
NBEAP1	-
TMEM51	-
MIR625	-
LINC00632	-
TRIM26	-
CDR2L	-
CCDC92B	-
ELOVL6	-
HMCES	-
NYAP2	-
SLC22A11	-
THUMPD3	-
MON1A	-
SEC14L1P1	-
UNC13D	-
EDRF1-DT	-
LRRC7	-
SNORD114-20	-
GAA	-
ATP10B	-
GREB1L	-
RPS14P3	-
DCTD	-
LINC01370	-
MACROD1	-
LINC01657	-
SLFN11	-
CCDC87	-
DCAF4L2	-
CDCA7	-
LYG2	-
MIR5689HG	-
TNFSF12	-
FBXO8	-
PTER	-
UBQLNL	-
MROH1	-
ARID5B	-
UBQLN4	-
FNDC1	-
UGT2A3	-
ASAH1	-
LINC01706	-
ATN1	-
MECR	-
ZNRF4	-
MACROD2-AS1	-
DUS4L	-
AFF3	-
CMSS1	-
KIF25	-
ZFP30	-
AIF1L	-
KCNQ5	-
RNU6-1	-
ERBB3	-
MIR3180-4	-
MIR3171	-
PMF1	-
SPAM1	-
SLC39A7	-
LINC00477	-
MIR559	-
GALK2	-
GRM1	-
ZNF674	-
CFDP1	-
MRPL30	-
PLEKHA1	-
GNG8	-
ZNF300P1	-
SUV39H2	-
TRABD2A	-
TMED8	-
SLC7A1	-
CATSPERG	-
ADH4	-
N6AMT1	-
MKI67	-
SAA2-SAA4	-
FRMD4B	-
TBC1D2	-
OR5A1	-
MYH10	-
OR2W3	-
ZNF542P	-
TLR3	-
SLC35E2B	-
CCIN	-
DENND1B	-
PTPRD-AS2	-
LINC00928	-
KIR2DS1	-
MCAT	-
SCN3A	-
ZNF436-AS1	-
NKAPL	-
SMIM15-AS1	-
C1orf109	-
LUZP1	-
CAAP1	-
UBR3	-
DLEU1-AS1	-
MEIKIN	-
SF3A3	-
VPS28	-
MIR620	-
SIK2	-
NSUN6	-
ORC3	-
PIK3CD	-
TENT5C	-
IGBP1P1	-
AP1G2	-
LINC00271	-
MYBPC3	-
C14orf39	-
LINC00837	-
LINC02376	-
LINC01693	-
SHPRH	-
ADAM6	-
ESRRG	-
LINC02215	-
RAP1GAP2	-
RAPGEF6	-
EXOSC7	-
SCARF1	-
TRAF3	-
HHATL-AS1	-
SIRPG-AS1	-
ZNF540	-
C7orf57	-
SLC16A2	-
TAF1C	-
LINC02155	-
IRF2BPL	-
DOCK9-DT	-
PRPF40A	-
POMT2	-
FAM197Y9	-
LINC02054	-
ACTL7A	-
MSL3P1	-
RPS29	-
TMEFF2	-
PRAMEF8	-
TMEM238L	-
IDNK	-
RBKS	-
ATP6V1D	-
NLRP11	-
TIMM50	-
AZGP1P1	-
SERPINE2	-
GBP2	-
SERPINA5	-
CD27	-
POTEI	-
DGKK	-
FAAP20	-
IL21	-
ZFHX4-AS1	-
AGO2	-
CCER2	-
DRC7	-
IL4	-
LINC01899	-
MIR6769B	-
TRIP4	-
POLR2J4	-
LINC01132	-
NPIPB3	-
FAM3B	-
FENDRR	-
KIAA0825	-
MAGEB4	-
VPS26C	-
OLFM1	-
SPANXN2	-
LINC02324	-
CD48	-
CACNA1I	-
GON4L	-
GPR151	-
MRPS21	-
ACER3	-
IL21R-AS1	-
RUSC1	-
ZSCAN30	-
TLCD1	-
SNHG14	-
CLUHP3	-
ZNF229	-
GPR87	-
STYX	-
PTPN22	-
TGIF1	-
ATP10D	-
AEBP1	-
NMI	-
PARP3	-
LINC02560	-
DISC1FP1	-
GNAL	-
ERC2	-
ZDHHC8	-
PUS3	-
HCN4	-
NASP	-
KIAA1217	-
DMRTC2	-
GJC3	-
GPHN	-
C1orf174	-
C18orf63	-
AKT1S1	-
SLC5A11	-
USP49	-
DLGAP1-AS5	-
ADARB1	-
ZNF648	-
LINC02431	-
SMARCA5	-
MRPL16	-
SNORA68B	-
ENPP7	-
LINC02233	-
CAPZB	-
MAP3K6	-
MUC7	-
SMARCAL1	-
NCOA4	-
TRIM32	-
ITPRID2	-
GALNS	-
LINC01342	-
RALGAPA1	-
GOLGA6L9	-
KRTAP12-3	-
MRPL54	-
GAS6	-
FANCB	-
FAM166A	-
FEZF2	-
TXLNB	-
GSPT1	-
LINC01914	-
ERCC6L2	-
WIPF1	-
CBLB	-
LINC00668	-
CUL9	-
ANK1	-
BMT2	-
TAS2R9	-
MRPL55	-
TRAK1	-
MAP2K5	-
UBE2W	-
ATP13A5	-
EXOC3	-
ARHGEF7-AS2	-
SIPA1L2	-
TMOD2	-
IRAK3	-
LINC02669	-
RBM33	-
MYO19	-
MZT2B	-
CCDC148-AS1	-
LINC01364	-
MIR4440	-
PRB4	-
LINC02136	-
EPS15	-
SERPINA10	-
PLA1A	-
UBASH3B	-
C19orf84	-
KIAA1614-AS1	-
FBXO17	-
SMG1	-
FBXL14	-
GTF3A	-
TRAPPC10	-
IHH	-
SENCR	-
CHIAP2	-
NLRP5	-
OSBP2	-
SHC3	-
TYW1B	-
LINC02453	-
USP24	-
TOMM34	-
MPZL3	-
ADAM20P1	-
PKN2-AS1	-
EHHADH-AS1	-
RPL32	-
PCDHGA3	-
RUNDC3A-AS1	-
MIR3972	-
LINC01430	-
CEP63	-
LINC00221	-
SCARA3	-
CROT	-
LIMD1-AS1	-
SPOUT1	-
ZBTB46-AS1	-
FFAR1	-
CARMIL1	-
SPEF2	-
SPDYE5	-
CCNH	-
PGPEP1L	-
ZNF582	-
HSPA7	-
UGT3A1	-
EMC1-AS1	-
PRAMEF4	-
LINC01927	-
GHSR	-
SNF8	-
MMS19	-
MAD1L1	-
OLIG2	-
WASH2P	-
CTXND2	-
SERPINA7	-
ANAPC10	-
DENND4C	-
AMTN	-
CEACAM7	-
ANKS3	-
SCNN1B	-
CDK11B	-
TPM3P9	-
PGAM2	-
NEXMIF	-
C6orf136	-
RECK	-
TSPAN15	-
USP17L1	-
LRFN4	-
ARHGAP40	-
NPY4R	-
LINC00965	-
CDRT15	-
SFXN5	-
IRS4	-
IRF2BP1	-
TOM1	-
LINC01645	-
LCE1C	-
UBE2I	-
HCG4B	-
KCND3	-
PROZ	-
CHST15	-
FZD4-DT	-
SNAP29	-
WNT9A	-
LINC00476	-
WT1-AS	-
TLCD3B	-
DDX20	-
P2RX1	-
DCLK1	-
LINC02688	-
SHTN1	-
TMEM232	-
CSH1	-
NCKAP1	-
PANK1	-
ZNF568	-
AFDN	-
ZNF470	-
GZMM	-
ARHGEF38	-
NUGGC	-
AHCTF1P1	-
CHDH	-
CPEB1	-
DEFB107A	-
TRPM2-AS	-
OR8G5	-
CHST13	-
PIP4K2A	-
LINC02091	-
DUSP8	-
BTBD7	-
TSPEAR-AS1	-
IGF2-AS	-
LRRTM3	-
HLA-G	-
KDM7A	-
LINC01372	-
CASC23	-
SLC38A10	-
AQP3	-
ZNF780A	-
ITPRIPL1	-
BIVM-ERCC5	-
KCTD16	-
LINC00619	-
OR1M1	-
AGTPBP1	-
CORO1C	-
DLEU1	-
IL31	-
RPL4	-
SH2B1	-
LINC00323	-
EME2	-
LINC00616	-
PPIAP46	-
CPB2	-
PDIA5	-
PTPN2	-
C1orf52	-
TMEM135	-
TES	-
MTOR	-
FAM78A	-
LINC01141	-
ILKAP	-
IL1RN	-
CREB3L3	-
SMAD7	-
ARHGAP26	-
FAM111B	-
OR2A1-AS1	-
KCNMB3	-
OR2G2	-
NUDT18	-
TLDC2	-
HGH1	-
MDM1	-
TLCD3A	-
MT-ATP6	-
ANKRD28	-
OTUD1	-
CNST	-
DUXAP10	-
DGLUCY	-
SCART1	-
TBC1D22A	-
PLXNB1	-
APOBEC3A_B	-
CTNND1	-
FARP1	-
PGBD5	-
ZNF76	-
LINC01150	-
PNKD	-
CLCN1	-
DDX23	-
TMX4	-
ADCK1	-
DUSP12	-
CARD8	-
FMO1	-
MIR8071-1	-
PA2G4P4	-
SSR4P1	-
AKR1C2	-
SNORA32	-
HAUS8	-
WDSUB1	-
LINC00924	-
RPUSD1	-
LINC01697	-
SLIRP	-
WFDC10B	-
ZNF384	-
SMG6	-
LINC02078	-
DEFB126	-
GDF7	-
HYAL4	-
KIAA1549L	-
APBB3	-
LINC00894	-
TMEM81	-
ZNF626	-
LINC02622	-
SWAP70	-
IQUB	-
LRRC37A5P	-
CHD9	-
FASTKD3	-
MYADML2	-
BORCS8	-
UTP14A	-
LMO7	-
SEPTIN1	-
STK11	-
OR2G3	-
TGM4	-
THAP12	-
PCNX3	-
PLEKHB1	-
RPL23AP87	-
LINC01776	-
PDS5A	-
DOP1B	-
OIP5-AS1	-
TTC3	-
OR2H2	-
FBXO34	-
MAST3	-
PGAM5	-
EFCAB2	-
FRY-AS1	-
JMJD4	-
FAM83E	-
SNORA71D	-
LINC02273	-
ITGB8	-
KCNJ2-AS1	-
KRBA1	-
FOXA1	-
PCDHGB8P	-
SERPINB3	-
PDCD6IP	-
LINC00838	-
MS4A13	-
RASSF2	-
KIF4A	-
FAN1	-
TUBGCP3	-
LINC01813	-
LINC01254	-
GNB3	-
TMPPE	-
TRPM4	-
LINC01467	-
BNC2-AS1	-
MAPK8IP3	-
ZNF722P	-
EML5	-
WTIP	-
CACNA2D1	-
MNX1	-
TMEM106B	-
ALPL	-
EFCAB6-AS1	-
CCDC192	-
IQCA1	-
FAM25C	-
SERINC2	-
KLRF1	-
MAP4K3-DT	-
CLCN2	-
COX16	-
USP8	-
COA6	-
ITLN1	-
PADI2	-
VRTN	-
FGD5P1	-
EML2	-
CYC1	-
IDO2	-
LSAMP-AS1	-
FAM161A	-
TAS1R1	-
SLCO1B3	-
CRPPA	-
EGOT	-
ZNF587B	-
ENSA	-
EPHA5-AS1	-
RNASEH2C	-
MIR1262	-
GCC2-AS1	-
MIR4797	-
MYH4	-
ATP6V1E1	-
KLHDC7B	-
KRT34	-
OR52N2	-
ST13	-
UBAC1	-
CPB2-AS1	-
SLC35G4	-
LRRC27	-
SDHA	-
TBC1D15	-
ADAMTSL1	-
ZNHIT2	-
PPFIA1	-
SLC38A9	-
OR1L6	-
HMCN2	-
GAP43	-
KDM3A	-
SLC45A2	-
FREM1	-
ANGPTL2	-
LINC01730	-
MYO1H	-
OAS1	-
WARS2-AS1	-
CYP2S1	-
DEFB125	-
MIR4494	-
REEP6	-
ADH1B	-
CNPY1	-
ASCC2	-
CBLIF	-
IMPA1P1	-
IMMP2L	-
SPANXC	-
AQP6	-
CMC1	-
OR2T4	-
LINC02366	-
FCN1	-
CDH17	-
SFSWAP	-
RC3H2	-
B3GALT5	-
ZNF57	-
CPEB3	-
SHC1	-
AGPS	-
LGALS4	-
TRHDE-AS1	-
FAM124A	-
VGLL3	-
OR5M1	-
LINC01491	-
MISP3	-
PDGFC	-
TMEM59L	-
DES	-
LINC01075	-
LINC02227	-
ATP6V1C1	-
LINC01509	-
PTH2R	-
C5-OT1	-
NAT10	-
ZNF236-DT	-
LINC02304	-
CNTN2	-
CACNA2D4	-
UMODL1	-
PCDH12	-
LINC01782	-
PDLIM1	-
NCF1B	-
FAT2	-
IBA57	-
AMER2	-
ZNF98	-
TTC21A	-
MUC5B	-
TBC1D10A	-
BOD1L2	-
FLOT2	-
TMC4	-
A4GNT	-
ZNF48	-
BMPR1B-DT	-
CNTN4	-
SIRT5	-
MAMDC4	-
TPM4	-
ITSN1	-
ZNF616	-
CRHR1	-
DCXR	-
MORF4L1	-
MYHAS	-
NBAS	-
FAM111A	-
MIR5682	-
ISM1-AS1	-
FBXO27	-
ELP2	-
PLIN1	-
ADIPOQ	-
OR10W1	-
C2	-
BARD1	-
CILP2	-
KIF9-AS1	-
CCDC42	-
MANSC1	-
SBDSP1	-
LINC02203	-
ZNF444	-
LINC02092	-
SCTR	-
RFC4	-
SLC26A10	-
FBXL21P	-
MIR124-2HG	-
RAB5A	-
NRIP1	-
MIR3663	-
LINC00488	-
ABCA13	-
SBF1	-
ANKS1B	-
LINC00607	-
GNAI3	-
DOCK1	-
ADRB2	-
PLEKHH1	-
GTF2IRD1	-
STARD5	-
DIRAS1	-
PXN-AS1	-
ASPRV1	-
RELCH	-
ZNF654	-
KDM1B	-
LRRC25	-
SH2D6	-
C20orf96	-
LINC02720	-
LINC02311	-
MIR3675	-
LIPJ	-
ADAMTS3	-
LINC01443	-
IGFBP3	-
ARHGAP30	-
BAIAP2-DT	-
POLR3G	-
CSHL1	-
WDHD1	-
TBX10	-
FOXCUT	-
GOLGA4	-
VASH1-AS1	-
THAP10	-
OR10A7	-
DUXB	-
GLUL	-
LINC00051	-
MIR3620	-
HSPB9	-
DCXR-DT	-
ICAM5	-
MTUS1	-
AURKB	-
RNU105B	-
TRIM51EP	-
OR6C70	-
CARD9	-
FAM170B-AS1	-
CCL4L2	-
MCF2L-AS1	-
OSER1-DT	-
KIAA1210	-
SPON1	-
CCT6A	-
LINC00690	-
LINC00963	-
MLH1	-
OAS3	-
OR7D2	-
RLIM	-
TMEM246-AS1	-
RAB11FIP1	-
GPR137C	-
LINC00687	-
CCDC71	-
SAP30	-
TNNT3	-
JAM2	-
CYP20A1	-
SGIP1	-
TMEM116	-
LCLAT1	-
EGLN1	-
PAXBP1-AS1	-
C1orf195	-
NRXN2	-
ZNF311	-
FGF14-AS2	-
ZNF45	-
L3MBTL4	-
COL8A2	-
ANXA9	-
MIR4634	-
PDGFRB	-
RAD51B	-
ROBO2	-
DYSF	-
PXT1	-
VRK2	-
TAX1BP1	-
PTGR1	-
FBLN2	-
GLT6D1	-
TBC1D16	-
LINC02262	-
FAM162A	-
TTN-AS1	-
STK32C	-
PRSS43P	-
NBPF14	-
CYP51A1	-
HAUS2	-
URB2	-
CRLF2	-
C1GALT1C1L	-
SPEN	-
GPR132	-
PABPC1	-
PRR30	-
UBC	-
ZKSCAN3	-
DCAF16	-
S1PR5	-
NUMBL	-
MLXIPL	-
NDRG4	-
PTCH1	-
OR6N1	-
TRIM40	-
LINC02301	-
PYY	-
NDFIP1	-
TMEM39A	-
LINC01783	-
LINC01679	-
MAP7D2	-
MMP27	-
R3HCC1L	-
NUDT16	-
UTF1	-
IL2RG	-
MROH8	-
ARMC2	-
LINC02221	-
MIR6719	-
LINC02425	-
PAAF1	-
DLX6	-
C16orf92	-
RPRML	-
ZNF672	-
ITGAV	-
HDAC3	-
SMTNL2	-
CYP4Z2P	-
ZNF274	-
RARG	-
PIH1D1	-
ULK1	-
YLPM1	-
ALKBH2	-
VPS25	-
C1RL-AS1	-
HOTAIRM1	-
RABGGTA	-
SH2B3	-
QRICH1	-
UBOX5	-
NOMO2	-
CHRFAM7A	-
SYTL3	-
BIN1	-
PLA2G3	-
VOPP1	-
ZNF546	-
CTIF	-
MAPK10	-
EPN2-AS1	-
LNX1-AS2	-
TPGS2	-
KDM4B	-
SLC1A3	-
RAPGEF5	-
ZNF574	-
EHD2	-
MMUT	-
CLDN11	-
SNORA107	-
CEP70	-
BRD8	-
PMM2	-
THOC5	-
BNIP2	-
PRKCQ-AS1	-
CCDC17	-
GRIN3B	-
ZFP41	-
DIDO1	-
LSS	-
GPR32	-
SCN1A-AS1	-
UBE4A	-
TMEM108-AS1	-
MIA3	-
CD19	-
CASKIN2	-
TMEM251	-
MCCC2	-
OR5W2	-
GLIPR1L1	-
C16orf96	-
VRK3	-
CYP4F11	-
ZC3H4	-
SH3PXD2B	-
MYOM3	-
ZNRF3	-
CLHC1	-
ITGB5	-
ZNF471	-
DDX51	-
LINC02696	-
BMPER	-
PSG5	-
SP7	-
COL4A2	-
CHSY3	-
LRRC2-AS1	-
LINC00265	-
SNHG11	-
FAM83C	-
ARHGEF16	-
CBX3	-
LINC01990	-
SMCHD1	-
ACIN1	-
LSG1	-
CSRNP1	-
IFI30	-
SPDL1	-
NLGN4X	-
LIPE-AS1	-
NEXN	-
ALOX5	-
GBP1P1	-
HCN1	-
STRA8	-
MAGIX	-
C14orf177	-
KDELR2	-
NFKBIL1	-
ELAVL2	-
C22orf34	-
ERICH1	-
MRPL45	-
ZNF595	-
ZSCAN5A	-
ANKDD1A	-
ZNF565	-
LINC01892	-
DEFB4B	-
LINC01717	-
GPR61	-
LINC01864	-
KDSR	-
MCRS1	-
TEX26	-
ZZZ3	-
MAN2A1	-
TTC7B	-
PANX1	-
WDR97	-
GOLGA8R	-
CD81-AS1	-
PLXNB3	-
MIR941-1	-
LYPD4	-
SRD5A3-AS1	-
EXO5	-
C20orf197	-
MSLN	-
CYP4F22	-
CLEC17A	-
N4BP2L2-IT2	-
TSKS	-
REM2	-
GNAZ	-
NEURL3	-
RELN	-
LINC01565	-
LINC00411	-
RPL29P2	-
DSG4	-
FXN	-
TMEM59	-
KIDINS220	-
LINC01007	-
TMEM117	-
ZNF385D-AS2	-
GABRB2	-
FAM138D	-
COPRS	-
LINC01935	-
PPP1R2B	-
CKMT1B	-
ADAM7	-
PKHD1L1	-
VN1R4	-
APH1A	-
LINC00621	-
KIRREL1-IT1	-
CASP5	-
PTPRG	-
CDH4	-
ATP9A	-
OR2T1	-
SMOC1	-
SAPCD2	-
SUMO4	-
PEG10	-
LINC00896	-
DIABLO	-
KCTD15	-
ZNF192P1	-
MAP1S	-
ZNF417	-
CXXC4-AS1	-
EIF2AK4	-
TRABD2B	-
TADA2A	-
NACAD	-
AATBC	-
DCAF12L1	-
TCF15	-
CX3CR1	-
USP37	-
FOXA2	-
RSPO3	-
GOLGA2	-
USP46	-
LINC02303	-
USP45	-
PTPRD	-
RXFP2	-
SNAR-G2	-
MIR1302-3	-
PIK3R4	-
CYB5D2	-
LINCADL	-
NLRC4	-
SLC24A1	-
FDX1	-
VAMP1	-
LRRFIP2	-
PCAT2	-
SLC4A1AP	-
URAHP	-
OLFML2B	-
USP17L17	-
RNASE2	-
NUDT6	-
TWF1	-
KCNJ6	-
KCNF1	-
HCG21	-
CUL3	-
PHEX-AS1	-
DAB2	-
RFLNA	-
CCDC188	-
FASTKD1	-
ITGA11	-
SSTR5-AS1	-
RNF139	-
CLEC1A	-
FCRL4	-
ZIC4	-
MIR603	-
DCAF8	-
MSRB2	-
REM1	-
TMEM262	-
MMP7	-
GATA3-AS1	-
HMCN1	-
CBLN2	-
LINC02582	-
ENGASE	-
REREP3	-
NR1D2	-
LINC01664	-
SLC5A4	-
BST1	-
HCG18	-
SHOX	-
ST20	-
RNF138P1	-
TNFRSF13B	-
FAM86JP	-
CLPTM1L	-
ZBTB45	-
CELP	-
METTL9	-
ADGRF2	-
PGLS	-
ANGPT2	-
RRP36	-
SPTBN5	-
ZC3H13	-
SNX5	-
CFHR2	-
BGLT3	-
KLRF2	-
MIR4675	-
PAQR7	-
FGD3	-
GAD1	-
LINC01353	-
STRBP	-
OVCH2	-
WASHC4	-
PATJ	-
KLHDC1	-
SMR3A	-
CMPK2	-
MYRIP	-
FIG4	-
SLC7A10	-
AK8	-
LINC00482	-
KCTD2	-
RAET1E-AS1	-
ZNF724	-
INSM2	-
CLDN34	-
GNA14-AS1	-
CD82	-
PPP5C	-
PRSS12	-
PRSS50	-
CXXC4	-
TTLL10	-
GAD2	-
PRRG2	-
LINC01659	-
CASKIN1	-
CNDP1	-
ABCA11P	-
NR2F1	-
ESYT2	-
GFRA4	-
SPIRE1	-
SUCLG1	-
PELP1	-
MARCHF9	-
DNM1P50	-
CDH12	-
LINC02138	-
MAPK8IP1	-
MGST3	-
GOLGA6C	-
IL4I1	-
LINC01743	-
CSN1S2AP	-
CELA1	-
SPDYE1	-
MTUS2	-
OR5L1	-
ZNF385B	-
MATN3	-
ADGRA1-AS1	-
RPSAP9	-
KMT5A	-
SPRR2D	-
LINC00544	-
LINC00867	-
ALG9	-
EVC2	-
TMEM38A	-
CCDC63	-
LRRK1	-
ART1	-
VWCE	-
SMPD2	-
LINC01232	-
ZNF844	-
ZNF736	-
RNGTT	-
LINC01949	-
LINC00696	-
TRPM3	-
CMTM2	-
CCDC88A	-
MARCKS	-
OR4N2	-
LINC01114	-
OR5K2	-
TAF6L	-
FUT5	-
PDE12	-
ELP3	-
SELENOKP3	-
DRAIC	-
KLHL41	-
DPYSL2	-
BRWD1-AS1	-
PRAMEF14	-
PDPN	-
PPP2CB	-
HSD3BP4	-
BPGM	-
TMEM71	-
LINC02825	-
LINC01674	-
RBM47	-
FSD2	-
MTMR9LP	-
LINC01255	-
MDP1	-
ZNF544	-
CXCL11	-
VTRNA1-2	-
OR4C5	-
ZNF770	-
FRMD1	-
CXorf38	-
INTU	-
TCL1B	-
ZNF280D	-
TFPI2	-
OR10J3	-
ATP1B2	-
PXK	-
S100A7	-
APTR	-
CRTC3-AS1	-
MIR525	-
SNORD115-10	-
NR4A1	-
CLRN2	-
FBXL12	-
FOXE1	-
LINC00487	-
PPM1E	-
RNF20	-
ZNF462	-
SSC5D	-
OR1A2	-
RNF186	-
CCNJL	-
MIR4465	-
RFX1	-
PUS10	-
MLEC	-
KCNIP3	-
FAM90A1	-
SUMF2	-
TENT4A	-
DEFB132	-
AFF2	-
LY6H	-
NBPF13P	-
PDZD8	-
BAG3	-
LINC02282	-
PEX3	-
CCKAR	-
FNDC11	-
MYL7	-
TCF7L2	-
PABPC1L	-
TRIM31	-
CDH22	-
HMMR-AS1	-
GNGT1	-
SLITRK4	-
DKK4	-
NIPAL4	-
HADHA	-
UGT1A3	-
HSPBP1	-
SOWAHB	-
R3HDM2	-
TESK1	-
SLITRK3	-
ZNF723	-
CD40LG	-
PRR3	-
PDE11A	-
LINC00331	-
AIG1	-
CALHM2	-
OR7E37P	-
SNORA59A	-
ABHD15	-
ASRGL1	-
C12orf29	-
STX1A	-
LINC00572	-
TDRD12	-
MIR6766	-
TXN	-
AQP1	-
PRKAA1	-
SLC2A3	-
E2F2	-
C1orf94	-
DOCK8	-
ANAPC1	-
LINC01318	-
PAIP1	-
LRRC69	-
ATP2B3	-
FAM155A-IT1	-
RBBP6	-
SYK	-
COPA	-
FCAR	-
LMNTD2	-
ARMC5	-
ZNF100	-
BBX	-
BCDIN3D-AS1	-
RGS11	-
PTGDR2	-
KCNJ10	-
HMGN4	-
KCMF1	-
MIR6511B1	-
OR5AN1	-
GRK4	-
BCL11A	-
RAD17	-
HAX1	-
DNAJC6	-
RIT1	-
PUS7L	-
RTN4RL1	-
FPGT	-
TBC1D30	-
ITGB7	-
FAM160B2	-
PRMT9	-
TSPY2	-
SETSIP	-
ZNF331	-
AFG1L	-
LINC01601	-
MUCL3	-
LIMD1	-
DSCAM-IT1	-
ADGRF3	-
AKAP9	-
SIRT3	-
POFUT1	-
DEGS2	-
SNORA80D	-
LINC00276	-
HORMAD1	-
TTC21B	-
RABL2A	-
GOLGA8EP	-
ADGRG6	-
BEX2	-
SMG8	-
BUB1B-PAK6	-
LINC02150	-
C17orf50	-
RDH13	-
LINC01640	-
NDUFB10	-
SPHKAP	-
NME9	-
MIR4719	-
MAFG-DT	-
LINC00515	-
ACLY	-
SNW1	-
BIRC5	-
KRTAP4-6	-
ZNF519	-
AMOTL1	-
OR6C4	-
CCDC73	-
FAM78B	-
MAP3K20	-
POLR1E	-
ZNF345	-
MDS2	-
ADGRG1	-
GPC6	-
FARSA	-
LINC01833	-
ARSA	-
MME	-
NF2	-
NXNL1	-
JMY	-
KRTAP4-11	-
TET1	-
TIGD4	-
CADM3-AS1	-
OR52W1	-
ARHGAP29	-
C5orf46	-
UNC93A	-
ZNF774	-
ALDH1L2	-
GPATCH8	-
LINC00910	-
GOLGA2P9	-
LINC01252	-
EEF1DP3	-
LINC01923	-
LINC02135	-
LINC02239	-
LINC01582	-
LRCOL1	-
TDGF1	-
CR1L	-
SREK1IP1	-
RPS2P32	-
TPTE2P3	-
XPO5	-
ZNF579	-
LINC01904	-
